,lat_coastalsouth,lon_coastalsouth
2948,38.71875,-120.46875
2949,38.71875,-120.40625
2950,38.71875,-119.78125
2951,38.71875,-119.53125
2952,38.78125,-123.59375
2953,38.78125,-123.53125
2954,38.78125,-123.46875
2955,38.78125,-123.40625
2956,38.78125,-123.34375
2957,38.78125,-123.28125
2958,38.78125,-123.21875
2959,38.78125,-123.15625
2960,38.78125,-123.09375
2961,38.78125,-123.03125
2962,38.78125,-122.96875
2963,38.78125,-122.90625
2964,38.78125,-122.84375
2965,38.78125,-122.78125
2966,38.78125,-122.71875
2967,38.78125,-122.65625
2968,38.78125,-122.59375
2969,38.78125,-122.53125
2970,38.78125,-122.46875
